repo,path,sha256,size_bytes,lines,language,category,role,inventory_scope,origin,executable_mode,shebang,static_flags,measurement_status
.,.claude/skills/yss-cache/scripts/check-skill-freshness.sh,63618779f60200a278e35dff67fe0a8def5e73cb9762c8967d1d80e54171f3b7,3144,84,Shell,root-script,cli,projection,scripts,True,#!/usr/bin/env bash,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.claude/skills/yss-cache/scripts/inspect-cache-usage.sh,ac2455fa637ef7364e3a3f89f450b1db8284d1e40ef85188e83a5a45e81b9aba,3213,96,Shell,root-script,cli,projection,scripts,True,#!/usr/bin/env bash,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": false}",static-only
.,.claude/skills/yss-cache/scripts/verify-cache-component.sh,99b27996511454eee5ffc447a2a50f078fba75516d1c46ee0a6b194b81d5aff8,3556,101,Shell,root-script,cli,projection,scripts,True,#!/usr/bin/env bash,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.codex/skills/data-analytics/scripts/normalize-widget-assets.mjs,9985c82df0bb7ba7433a59fe2b17c1c84293e1f551ea835d135e3be1fc1a189b,2572,75,JS,root-script,cli,projection,scripts,False,,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.codex/skills/data-analytics/skills/build-report/report-to-google-doc/scripts/report_to_google_doc/__init__.py,4fc217e372ee50012dd6e1a6708b62b322bd01dba0e853e5e770898f323516e5,45,1,Python,root-script,library,projection,scripts,False,,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",static-only
.,.codex/skills/data-analytics/skills/build-report/report-to-google-doc/scripts/report_to_google_doc/cli.py,55efdc0399c490b4f87720cf2aeb41c88502ef890eb0f646e01e9868848ed5c4,1974,57,Python,root-script,library,projection,scripts,False,,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.codex/skills/data-analytics/skills/build-report/report-to-google-doc/scripts/report_to_google_doc/constants.py,d3b1730fefd8c21814932f11ab36a8c30e4a9e4c3db5bed60deb0cda0022f8b3,2114,61,Python,root-script,library,projection,scripts,False,,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",static-only
.,.codex/skills/data-analytics/skills/build-report/report-to-google-doc/scripts/report_to_google_doc/docx_writer.py,db4b91e7a7d5749c25662aeebbefcb043cd2a502f6c79f9bb5113e3c8c4ba298,12669,362,Python,root-script,library,projection,scripts,False,,"{""process_spawn"": false, ""tree_io"": false, ""network"": true, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.codex/skills/data-analytics/skills/build-report/report-to-google-doc/scripts/report_to_google_doc/html_parser.py,bd2c58fc15d756eaaef9c20dc276300aa4547d557f2e8009712813f7b230a7aa,29123,829,Python,root-script,library,projection,scripts,False,,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.codex/skills/data-analytics/skills/build-report/report-to-google-doc/scripts/report_to_google_doc/model.py,56719c2de8c6e8f4ef1b86c0ed747c1e730018753b5e51f54b4dc991438a6157,1017,30,Python,root-script,library,projection,scripts,False,,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",static-only
